filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Bacteroides_fragilis_NCTC9343_CO-3.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_fragilis_NCTC9343_SI-1.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_fragilis_NCTC9343_SI-2.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_fragilis_NCTC9343_SI-3.mzML	Mus musculus	monocolonized	Bacteroides fragilis NCTC9343	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_CO-1.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_CO-2.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_CO-3.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_SI-1.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_SI-2.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_massiliensis_DSM_17679_SI-3.mzML	Mus musculus	monocolonized	Bacteroides massiliensis DSM 17679	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_CO-1.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_CO-2.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_CO-3.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_SI-1.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_SI-2.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_ovatus_ATCC8483_SI-3.mzML	Mus musculus	monocolonized	Bacteroides ovatus ATCC8483	small intestine	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
Bacteroides_salanitronis_DSM_18170_CO-1.mzML	Mus musculus	monocolonized	Bacteroides salanitronis DSM 18170	colon	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
