Taxa_NCBI	superkingdom	kingdom	clade	phylum	class	order	family	genus	species	strain
435832	Bacteria			Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	Neisseria mucosa C102
28125	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bivia	
226185	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	Enterococcus faecalis V583
1872398	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus sp.	
1261072	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	Bifidobacterium breve JCP7499
596310	Bacteria		Terrabacteria group	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus grandis	Deinococcus grandis SK125
1869337	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp.	
765108	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	Cutibacterium acnes HL036PA3
979215	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	Staphylococcus epidermidis NIHLM018
1401070	Bacteria		Terrabacteria group	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis	Peptoniphilus lacrimalis DNF00528
693991	Bacteria			Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium polymorphum	Fusobacterium polymorphum F0401
1547	Bacteria		Terrabacteria group	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia ramosa	
820	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	
134262	Bacteria		Terrabacteria group	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	
537011	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella copri	Segatella copri DSM 18205
272559	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	Bacteroides fragilis NCTC 9343
28073	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya		
1185	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Nostocales	Rivulariaceae			
207920	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Moorena	Moorena bouillonii	
227866	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus tequilensis	
1397	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	Niallia circulans	
1409	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. (in: firmicutes)	
1901	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	
680198	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces scabiei	Streptomyces scabiei 87.22
168697	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola	
479978	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora tulbaghiae	
320912	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter dokdonensis	
1155738	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Moorena		
1871615	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus sp.	
1136748	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter aquimarinus	
291985	Bacteria			Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania vulgaris	
326329	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter dokdonensis	
192421	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maritimus	
1853311	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter oceani	
691689	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter flavus	
943941	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Postechiella	Postechiella marina	
1524257	Bacteria			Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limimaricola	Limimaricola aestuariicola	
255984	Bacteria			Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania	Qipengyuania aquimaris	
1038014	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina amphilecti	
576131	Bacteria			Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Lentibacter	Lentibacter algarum	
1972512	Bacteria			Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Yoonia	Yoonia acticola	
1420851	Bacteria			Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus	Methyloprofundus sedimenti	
1137780	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter porphyrae	
1828	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians	
979	Bacteria		Bacteroidota/Chlorobiota group	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	
